Open Time,volume_zscore,funding_z,r1,r8,candle_pos,taker_buy_ratio,distance_hl_position,bb_width
2024-05-08 21:00:00,0.14695609573173085,0.9886632414673348,0.007796994612985442,-0.03951901641559141,0.7785714257908156,0.4908462286567689,0.11360083370838972,0.11545824668272936
2024-05-09 00:00:00,-0.40620817272667276,0.04755633559999435,0.014348009565339659,-0.03311879860552425,0.7796610143062332,0.4793434542163348,0.21990620103183622,0.11377516051883801
2024-05-09 03:00:00,-0.13593127025702084,0.04699946196302213,0.00187213978643741,-0.01847700563820387,0.6989247274251369,0.5113823436928786,0.23397602905994003,0.11411008318933363
2024-05-09 06:00:00,-0.19655239313876108,0.6566103003085567,-0.004775416983874292,-0.01856401856401857,0.4499999988157936,0.4944239877771753,0.19801980187700957,0.11519179844899946
2024-05-09 09:00:00,0.07096587580634627,0.6460490604602496,-0.006954102920723182,-0.01781415503129502,0.6441176451643635,0.49405698790680025,0.14590932769884932,0.1189198734628141
2024-05-09 12:00:00,0.00272322564196125,0.6359845648037018,0.01463585434173642,-0.01948974758069988,0.9939209696233374,0.5275598826250005,0.2548202187312029,0.11884002157655653
2024-05-09 15:00:00,1.4282330046842837,0.4847620061085234,0.011940092483953446,0.0007508019930380083,0.49103138903356364,0.5218615066364756,0.3449713390594211,0.11727219308879447
2024-05-09 18:00:00,-0.05028461344644014,0.4784694180099232,0.024757877506479398,0.06499858236461575,0.7574552668837871,0.5573867617367146,0.5341323603261426,0.11429686156824244
2024-05-09 21:00:00,0.02738651054203462,0.47241664519583354,0.015440931780366096,0.07307638205092126,0.7859007812378579,0.5334883609039458,0.655028660419474,0.11301828855944762
2024-05-10 00:00:00,-0.26884372229994724,-0.7331877820159063,0.00681654322606029,0.06510886146165595,0.6202185775403898,0.5443360680075604,0.7092235535647619,0.11266079479846569
2024-05-10 03:00:00,-0.6606206727798111,-0.7220186819805159,-0.0022784974936529423,0.06069624195446033,0.4124999982812459,0.4653626852065331,0.6909848876024045,0.11287054310487732
2024-05-10 06:00:00,-0.3991536438690054,-0.036028154166784704,0.005219887772413001,0.07134909596662031,0.357414447310211,0.5276312968010821,0.7326732669449333,0.11323490177893544
2024-05-10 09:00:00,-0.754082239124261,-0.0356864536908791,0.006166428664156731,0.08550420168067219,0.9230769189000976,0.5385347580800607,0.782178217414185,0.11354436424872276
2024-05-10 12:00:00,2.098264905005326,-0.03535429006873932,-0.04851299916134433,0.01794464766374504,0.18285123948052648,0.46830346072729007,0.3903074515944208,0.11882928804599881
