Open Time,High,Low,Close,volume_zscore,r6,r12,trend_slope_short,taker_buy_ratio_change,distance_hl_position,bb_width
2024-05-20 19:00:00,0.5367,0.5229,0.5349,3.7389115122794507,0.04460166127500975,-0.022791483057881923,0.0,0.02927937157159133,0.9999997467895089,0.0662149693511591
2024-05-20 23:00:00,0.5431,0.5331,0.535,2.4970130632511944,0.05339185958932369,-0.022333770863277147,0.0,-0.037763304102892636,0.9999997777254828,0.06945944263934685
2024-05-21 03:00:00,0.539,0.533,0.5369,0.8193050081482068,0.04677768173353547,-0.018269891035550767,0.0,1.2092222370752026e-05,0.9770752790925679,0.07285928319493454
2024-05-21 07:00:00,0.5467,0.5347,0.5427,2.454364333458125,0.05540111107741197,-0.013563813609443032,0.0,-0.044079568204992814,0.999999795919708,0.0767978342879787
2024-05-21 11:00:00,0.55,0.5408,0.5497,1.5533196920551608,0.06235700575324854,-0.005078718155984263,0.0,-0.06942055014507265,0.9999998091515356,0.08261756803014218
2024-05-21 15:00:00,0.5571,0.5406,0.542,1.7179038872778332,0.05390010380396881,0.015562376160314972,0.0,-0.04205680343166718,0.9999998190373108,0.08753120380711055
2024-05-21 19:00:00,0.5426,0.5319,0.5382,0.23999858632020785,0.009147049566511356,0.04460166127500975,0.0,-0.12056033121929954,0.8026835876465236,0.09051514676258171
2024-05-21 23:00:00,0.5382,0.5328,0.5361,-0.3207733741186042,-0.0027115097252740084,0.05339185958932369,0.0,0.07701087401113749,0.7877810975932529,0.09268478458289921
2024-05-22 03:00:00,0.5368,0.5286,0.5338,0.0954436023481331,-0.0048411759566511225,0.04677768173353547,0.0,-0.07397948781366803,0.7485046955830466,0.09420511158048582
2024-05-22 07:00:00,0.5383,0.5295,0.5356,1.0702373355588657,-0.013208576212076606,0.05540111107741197,0.0,-0.031699088018688926,0.7573603889728406,0.09507967784052083
2024-05-22 11:00:00,0.5358,0.5263,0.5332,1.0507805637737908,-0.02506972523480888,0.06235700575324854,0.0,-0.0890259325639361,0.7011310999455328,0.09595504917467515
2024-05-22 15:00:00,0.5379,0.5266,0.5285,0.11130961896726513,-0.027235138423196692,0.05390010380396881,0.0,-0.1105856223477264,0.7301786318059815,0.0961973194807902
2024-05-22 19:00:00,0.5303,0.5224,0.527,-0.40498553519429853,-0.018252502825922168,0.009147049566511356,0.0,-0.007261418374408746,0.6254557672500302,0.09513917895107991
2024-05-22 23:00:00,0.5293,0.5254,0.528,-0.28025258180537244,-0.015027995829909657,-0.0027115097252740084,0.0,-0.03176180442129217,0.6420864912143328,0.09178420270538493
2024-05-23 03:00:00,0.5298,0.5249,0.5261,-0.5069683390063017,-0.012151935107153844,-0.0048411759566511225,0.0,0.08327622605752016,0.6311704351906717,0.08999154850857048
2024-05-23 07:00:00,0.5308,0.5224,0.5252,0.9624899281499842,-0.011537159753466808,-0.013208576212076606,0.0,0.10186627686358785,0.6458599857458793,0.08909423304890812
2024-05-23 11:00:00,0.5488,0.5113,0.5326,5.0,-0.0013230941124902085,-0.02506972523480888,0.0,0.15652664016139917,0.6884185082636465,0.08781476825187931
2024-05-23 15:00:00,0.5359,0.5163,0.5201,1.0632598192712477,-0.014395692556936734,-0.027235138423196692,0.0,0.12944451491491482,0.5914433567564312,0.08886866517143722
2024-05-23 19:00:00,0.5302,0.5027,0.5267,1.9749354226886988,-0.01808968786666343,-0.018252502825922168,0.0,0.10788177888238759,0.4530148405398008,0.08651657453332004
2024-05-23 23:00:00,0.5351,0.526,0.5315,-0.09964145348693142,0.0039386777097796255,-0.015027995829909657,0.0,0.041354881103244034,0.6796976522937341,0.08510584544576436
2024-05-24 03:00:00,0.5318,0.5188,0.5189,0.2823353734964696,-0.0034780209680324026,-0.012151935107153844,0.0,-0.11155382481488074,0.5979961367113752,0.08537973364357235
2024-05-24 07:00:00,0.527,0.5168,0.5266,0.5666871818685647,-0.010873266389883285,-0.011537159753466808,0.0,-0.04299844412473519,0.5419881260575806,0.0831796044895701
2024-05-24 11:00:00,0.5375,0.5264,0.5342,0.9363271268581247,0.003179240270489103,-0.0013230941124902085,0.0,-0.09566302895395185,0.7189249615517074,0.08095777215965087
2024-05-24 15:00:00,0.5373,0.53,0.5323,0.04167913969689663,0.015343135064902702,-0.014395692556936734,0.0,-0.10373202107342772,0.7371807635197127,0.08006867461580944
2024-05-24 19:00:00,0.5359,0.5313,0.5355,-0.681771478306937,0.0307798326183637,-0.01808968786666343,0.0,-0.0032017897369517323,0.7411175546978346,0.07756675613611644
2024-05-24 23:00:00,0.5364,0.534,0.5343,-0.8119952048960314,0.010093198708349904,0.0039386777097796255,0.0007742499611107133,-0.20218280340715977,0.776459088293046,0.07526338567623254
2024-05-25 03:00:00,0.5377,0.5333,0.5344,-0.7926479857922919,0.020038478273330496,-0.0034780209680324026,0.0007790036602435763,0.1880141766905008,0.7884637640278583,0.07187461308012447
2024-05-25 07:00:00,0.5406,0.5341,0.5404,-0.7252310758693513,0.027903159673276612,-0.010873266389883285,0.0007841514799108611,-0.008163754454993066,0.8056474919229583,0.06924153585532723
2024-05-25 11:00:00,0.5418,0.5318,0.5383,-0.4596138318097451,0.00855642642676191,0.003179240270489103,0.0007900577879216892,-0.016166353175878223,0.801289320927603,0.06931565867555134
2024-05-25 15:00:00,0.5425,0.5375,0.5388,-0.6343405331522354,0.013043488410658943,0.015343135064902702,0.0007893551422906855,0.07064061535247812,0.8629758050372525,0.06992683661295512
2024-05-25 19:00:00,0.5426,0.5383,0.5415,-0.8096500717486379,0.01310151553545369,0.0307798326183637,0.0008018724299598178,0.066818151484628,0.8675238039279168,0.07073858327826024
2024-05-25 23:00:00,0.5423,0.5385,0.5395,-0.9078374338279073,0.01023223451310118,0.010093198708349904,0.0008127804380197159,0.09458945841696176,0.8755435178803287,0.07145469453234461
2024-05-26 03:00:00,0.5404,0.5377,0.5381,-1.0008332575958994,0.005416479041880251,0.020038478273330496,0.0008266953142930693,-0.16018426281545117,0.8409795724659301,0.07208725477603697
2024-05-26 07:00:00,0.54,0.5341,0.5365,-0.7482766085942325,0.0006338278326385449,0.027903159673276612,0.0008377374873188166,-0.09360808728404191,0.8118037005043416,0.07234343225471582
2024-05-26 11:00:00,0.5369,0.5328,0.5349,-0.6766009910019996,-0.0034425165543491287,0.00855642642676191,0.0008427293308184866,0.029370821253457358,0.7678680360051046,0.07189977743251282
2024-05-26 15:00:00,0.5355,0.5294,0.5307,-0.6637028111867265,-0.015765606077636884,0.013043488410658943,0.0008429891980017089,-0.02822803638202942,0.7089446661657673,0.0720017248507808
2024-05-26 19:00:00,0.5316,0.5255,0.5296,-0.6981413224981275,-0.020293247240556034,0.01310151553545369,0.0008344542200567315,-0.11678766980630961,0.6691649819426317,0.071111049375029
2024-05-26 23:00:00,0.5337,0.5275,0.5322,-0.6888758514870936,-0.019074653751954718,0.01023223451310118,0.0008095042637881128,0.13360805453850588,0.6889430134143805,0.07001231352725669
2024-05-27 03:00:00,0.5327,0.5248,0.5252,-0.22394993597224674,-0.01865255038809943,0.005416479041880251,0.0007832078707290567,-0.048824743614996335,0.659153059730258,0.07026176341656681
2024-05-27 07:00:00,0.5324,0.5236,0.5285,0.6813553520679321,-0.016038561871308366,0.0006338278326385449,0.0007444882096482283,0.23754249299465213,0.6559264902800824,0.06956493371970257
2024-05-27 11:00:00,0.5369,0.5267,0.535,0.13179498219877844,-0.004593411484326793,-0.0034425165543491287,0.0007150892874898971,0.09361028125481297,0.7234269347651109,0.06881848451468514
2024-05-27 15:00:00,0.5409,0.5348,0.5366,-0.13958081016301302,0.013226442167151076,-0.015765606077636884,0.0006951965931571291,-0.033739029911172946,0.8361307016484679,0.0688549492408938
2024-05-27 19:00:00,0.5371,0.5286,0.5355,-0.475165311229706,0.00871899087825967,-0.020293247240556034,0.000700922670426973,0.05408194684644663,0.7526603336933976,0.06912959501691372
2024-05-27 23:00:00,0.5358,0.526,0.5309,0.2701248892745977,0.0024308442519460627,-0.019074653751954718,0.0006907310346760807,-0.0627999810496025,0.7122694951564297,0.06946670777623822
2024-05-28 03:00:00,0.5311,0.5211,0.5256,0.07448385479967286,-0.006690650810816212,-0.01865255038809943,0.0006814907685478868,0.16056483054182324,0.5951486126608899,0.06990436465879318
2024-05-28 07:00:00,0.5332,0.5229,0.5305,0.5458974123358385,-0.00114540273296182,-0.016038561871308366,0.0006442071156776997,-0.05821360256190422,0.644972975609333,0.06912258201088907
2024-05-28 11:00:00,0.5336,0.5258,0.5281,0.5501474533413302,-0.0033421181344008843,-0.004593411484326793,0.000615630169432383,-0.008413894556431378,0.6912405819075723,0.06894156813053269
2024-05-28 15:00:00,0.5309,0.5224,0.5248,-0.220982773665561,-0.020433363432089013,0.013226442167151076,0.0005942947412108065,-0.04656472495820774,0.6370437635157111,0.06899441820738215
2024-05-28 19:00:00,0.53,0.5247,0.5296,-0.7728699631458236,-0.011723677560840473,0.00871899087825967,0.0005673181679644059,0.03782959764267968,0.6394124387646061,0.06776839465364834
2024-05-28 23:00:00,0.53,0.5249,0.5274,-0.4474598862208085,-0.008880955859574602,0.0024308442519460627,0.0005336892988373098,0.10914870668349086,0.6268403148313385,0.06776618454135787
2024-05-29 03:00:00,0.532,0.5261,0.5291,-0.1707468095163069,0.008273238532374272,-0.006690650810816212,0.000490743916350598,0.00506117616287427,0.6737629675336692,0.06685683714060486
2024-05-29 07:00:00,0.5334,0.5215,0.5306,1.9307156573506055,-0.00014758404858672414,-0.00114540273296182,0.0004560788966834533,-0.06974612372612854,0.6435632422657461,0.0658394182495343
