Open Time,High,Low,Close,r6,lyapunov,variance_ratio,spectral_entropy,trend_slope_short,RSI,taker_buy_ratio,distance_hl_position,bb_width,bb_pos,ou_speed,close_vwap_dev,adl_slope,adl_div
2024-05-31 19:00:00,67999.0,67342.24,67509.52,-0.01298683217709884,-0.020395072223578514,1.081135200059713,3.426247372761448,0.0,45.9962923551168,0.49747550310618255,0.3721563821709772,0.03969924986264871,0.24913350293478645,0.2334555805054598,-0.007578462249753075,-1.2152886404831744,1.0
2024-05-31 23:00:00,67740.0,67239.19,67729.05,-0.013716119127857196,-0.010331251107520008,1.0840292285661768,3.3441817967446723,0.0,44.594909525440656,0.49161700056023255,0.3533805099684083,0.039119165453220264,0.21492611532839834,0.24182766775392966,-0.002054882048618634,-0.4628011277447435,1.0
2024-06-01 03:00:00,67810.0,67603.0,67693.32,-0.011007530668618037,-0.024411164684844156,1.0929285227595809,3.3939562712116844,0.0,47.10891617505043,0.4922836727579752,0.37652613397873097,0.0396433889236524,0.2865164188965613,0.2619844806785234,-0.0007324559956328454,0.17925028964677436,-1.0
2024-06-01 07:00:00,67760.0,67575.23,67627.33,-0.006900636916487568,0.016594818762255048,1.0972987462316632,3.5447194900124077,0.0,46.035144159131576,0.4862454127035661,0.37429891737458876,0.040109156956672255,0.2948265938798666,0.2759505416932422,-0.0005502150796290551,-0.9898922079284529,1.0
2024-06-01 11:00:00,67872.5,67627.32,67803.34,-0.007032498226578698,0.014215301598638203,1.0966133671453313,3.544849189224146,0.0,42.452486062993685,0.49631117241792877,0.3854685755224277,0.0376740776737566,0.33432393638108726,0.2725432501311211,0.0032367962390292275,2.122903506116572,1.0
2024-06-01 15:00:00,67900.0,67556.72,67750.71,0.007841458709120008,-0.01080831519304205,1.0970529897846666,3.4914574795602022,0.0,39.66044199171099,0.49177789366496527,0.37836370105723405,0.03211227617895408,0.3172741610986984,0.2647254111954926,0.0011574795977286818,0.35095254467451736,1.0
2024-06-01 19:00:00,67885.0,67685.72,67765.4,0.0014312970165648586,0.0021198982578430133,1.097898758237549,3.5258707943985486,0.0,41.243661150621016,0.4767487648017639,0.3862481522170502,0.027666256682057307,0.3493268767537113,0.2754047832483652,0.0011357637556065204,0.899152555998373,1.0
2024-06-01 23:00:00,67910.55,67643.33,67733.26,0.003718653555548901,-0.02546539316262024,1.0974027530425063,3.5078562772197617,0.0,45.042373946411495,0.4794794041715212,0.389922524409249,0.026933004517094183,0.37629305260338236,0.2863030493621473,4.254525988649577e-05,-0.19551066000771683,-1.0
2024-06-02 03:00:00,67867.6,67724.6,67841.09,0.001492695279068812,-0.015680395894068302,1.1009461879685611,3.4214963341393627,0.0,49.26410360992069,0.4873942514415883,0.39122892054943853,0.026950432038769203,0.3838814518022726,0.29982620641407653,0.001385599237836881,0.12004123373333342,1.0
2024-06-02 07:00:00,67842.91,67367.2,67529.99,-0.000914643023323447,0.05394162080520046,1.1050746627129078,3.44738330653991,0.0,43.8546483906658,0.4780574599310608,0.3652918811983816,0.02673433094371881,0.30327584470932556,0.23062934284423459,-0.003054649786353535,0.09882992495925738,-1.0
2024-06-02 11:00:00,68460.0,67492.6,68252.5,0.005203865358403226,0.019007422972906276,1.0854814031826177,3.43758809013359,0.0,51.621790456664144,0.4829874653260564,0.4367722714252047,0.026620844599599004,0.5697039550463316,0.2556770657051445,0.006738370852044231,0.9872731285953432,1.0
2024-06-02 15:00:00,68297.12,67456.88,67697.14,0.0021780735381871086,0.007798369792654822,1.071323029283967,3.4875213011339223,0.0,49.0099531507811,0.48528127818189676,0.39982134557092175,0.026994285485844375,0.43366361627538874,0.2525210745892721,-0.001815181000433685,0.25611387370148386,-1.0
2024-06-02 19:00:00,67984.01,67257.47,67927.99,-0.0018879129043353204,0.0022753726875436612,1.0698331228437974,3.344023841027196,0.0,46.049826399464045,0.4891369881327863,0.36763418706390677,0.025945336932663078,0.318702173978094,0.25110874100540687,0.001903645173690479,1.1564032236425128,1.0
2024-06-02 23:00:00,68793.97,67612.48,68416.08,0.007197884401879184,0.007724271667773472,1.0621185704827545,3.0615857422107804,0.0,48.52783473502997,0.4963133303734693,0.46091684840117675,0.025009265777249948,0.6931724587931153,0.27206202190106116,0.007893837139814123,1.6949175845850482,1.0
2024-06-03 03:00:00,69221.0,68201.0,69038.94,0.013996182251401867,0.006812957699591262,1.054610835811427,3.2025742094444074,0.0,52.74570625890012,0.5009741110050738,0.5292946426503462,0.02672961098962166,0.9242690282044562,0.2677297543477389,0.014705669176425538,2.365267401920249,1.0
2024-06-03 07:00:00,69333.0,68804.0,68907.99,0.02144918245555627,-0.01090205616390848,1.0691406412798814,3.221238303800668,0.0,55.00108944329452,0.5166370545914506,0.5763215990898192,0.02860091808350506,1.0457261044451724,0.25786478190955014,0.009195633499871517,1.6497265828683831,1.0
2024-06-03 11:00:00,70288.0,68500.0,68776.01,0.02030812559515449,-0.005940068669156902,1.0749875819442334,3.2832618388937984,0.0,56.36996013889974,0.5092666914519048,0.6380272311301857,0.02954670389752598,1.2192447267561102,0.23749311374531512,0.003873472540535371,-1.332302009300956,-1.0
