Open Time,volume_zscore,funding_z,r1,r8,candle_pos,taker_buy_ratio,distance_hl_position,bb_width
2024-05-08 21:00:00,-0.23554315449093588,1.3147558970357014,0.007656838132409138,-0.01047346865445209,0.7952994690939381,0.5198489484446108,0.132423136314319,0.07691604804473987
2024-05-09 00:00:00,-0.8773063603614281,1.2718222820542755,0.008163512327643119,-0.009123954925481681,0.7990881456537693,0.532775701910428,0.21764003930164028,0.07877557956728093
2024-05-09 03:00:00,-0.43376180481225934,1.2328655943077271,0.001920966886666431,-0.007125364778356902,0.6030392881382349,0.5937210176328876,0.23785624033981959,0.08024518180914161
2024-05-09 06:00:00,-0.031687936714690834,1.1973064721799438,-0.006470832986602337,-0.005487658598997802,0.2565183038565881,0.4684593455650383,0.16962656183596675,0.08282881836574997
2024-05-09 09:00:00,-0.02334805623454747,1.1646772582413325,-0.0025495760199142348,-0.004384160839511653,0.7297073438073691,0.5031348789429708,0.14291731011712275,0.08524002970887237
2024-05-09 12:00:00,0.5967869469604173,1.1345957526451949,0.0033588606744592298,-0.010932978392302561,0.7400236125761398,0.5249580198677263,0.17801488136396054,0.08621794901138433
2024-05-09 15:00:00,0.6656844915001093,1.1067461299679242,0.005557043385109983,-0.0024210501844846855,0.5091834475527408,0.4976926748959822,0.23627684963371254,0.0861268421527653
2024-05-09 18:00:00,-1.1184648101311436,1.080864818140822,0.005992409614488325,0.023780241969636906,0.7317339146740437,0.5147293235015297,0.29945247787802054,0.08517073277284747
2024-05-09 21:00:00,-0.36000938831959367,1.0567298834574796,0.004775299490370033,0.02085259615158308,0.4699720669297094,0.50745028142835,0.3500982731872069,0.08422941118305033
2024-05-10 00:00:00,-0.013850842332668718,0.5586055232360505,-0.0017752278318835524,0.010788763677717972,0.48932867656603996,0.5391241798140293,0.3311806822851618,0.08439286906380435
2024-05-10 03:00:00,-0.9625876065705231,0.5513529144567201,-0.0003431391957344765,0.008504618457185753,0.6699507383662239,0.5610370880807717,0.3275305348754908,0.08454349746010197
